anio_epi,semana_epi,departamento,casos_confirmados,casos_probables,casos_total,t2m_max_sem,t2m_min_sem,t2m_prom_sem,precip_total,precip_dias_lluvia,humedad_prom,viento_prom,t2m_prom_sem_lag1,t2m_prom_sem_lag2,t2m_prom_sem_lag3,t2m_prom_sem_lag4,precip_total_lag1,precip_total_lag2,precip_total_lag3,precip_total_lag4,humedad_prom_lag1,humedad_prom_lag2,humedad_prom_lag3,humedad_prom_lag4,t2m_max_sem_lag1,t2m_max_sem_lag2,t2m_max_sem_lag3,t2m_max_sem_lag4,amplitud_termica,grados_dia,en_rango_optimo,temp_bajo_letal_frio,temp_sobre_estres_calor,dist_temp_optima,semana_lluviosa,estacion_lluviosa,semana_sin,semana_cos,casos_total_lag1,casos_total_lag2,casos_total_lag3,casos_total_lag4,casos_tendencia,casos_promedio_4sem
2016,12,Morazan,0.0,,0,36.80692307692307,19.819230769230767,27.287032967032967,8.051538461538462,4,54.67945054945055,2.4604395604395606,26.996153846153845,26.545494505494503,26.468021978021977,25.212197802197803,0.1569230769230769,4.986923076923077,1.0423076923076924,2.470769230769231,58.246703296703295,63.16989010989011,53.04010989010989,59.15824175824175,36.066153846153846,34.72769230769231,34.85846153846153,34.559999999999995,16.987692307692303,17.287032967032967,1,0,1,0.2870329670329674,0,0,0.992708874098054,0.120536680255323,0.0,0.0,0.0,0.0,0.0,0.0
2016,13,Morazan,0.0,,0,36.790000000000006,20.976923076923075,27.56186813186813,0.0346153846153846,0,58.1156043956044,1.9774725274725276,27.287032967032967,26.996153846153845,26.545494505494503,26.468021978021977,8.051538461538462,0.1569230769230769,4.986923076923077,1.0423076923076924,54.67945054945055,58.246703296703295,63.16989010989011,53.04010989010989,36.80692307692307,36.066153846153846,34.72769230769231,34.85846153846153,15.813076923076933,17.56186813186813,1,0,1,0.5618681318681311,0,0,1.0,-1.6081226496766366e-16,0.0,0.0,0.0,0.0,0.0,0.0
2016,14,Morazan,0.0,,0,36.98384615384615,17.606153846153845,28.53934065934066,0.7307692307692308,3,48.70758241758242,2.759230769230769,27.56186813186813,27.287032967032967,26.996153846153845,26.545494505494503,0.0346153846153846,8.051538461538462,0.1569230769230769,4.986923076923077,58.1156043956044,54.67945054945055,58.246703296703295,63.16989010989011,36.790000000000006,36.80692307692307,36.066153846153846,34.72769230769231,19.377692307692307,18.53934065934066,1,0,1,1.5393406593406596,0,0,0.992708874098054,-0.1205366802553228,0.0,0.0,0.0,0.0,0.0,0.0
2016,15,Morazan,0.0,,0,37.22538461538461,20.30307692307692,27.933516483516485,0.1746153846153846,1,55.77681318681319,1.9906593406593405,28.53934065934066,27.56186813186813,27.287032967032967,26.996153846153845,0.7307692307692308,0.0346153846153846,8.051538461538462,0.1569230769230769,48.70758241758242,58.1156043956044,54.67945054945055,58.246703296703295,36.98384615384615,36.790000000000006,36.80692307692307,36.066153846153846,16.92230769230769,17.933516483516485,1,0,1,0.9335164835164846,0,0,0.970941817426052,-0.2393156642875575,0.0,0.0,0.0,0.0,0.0,0.0
2016,16,Morazan,0.0,,0,37.56307692307692,21.50769230769231,28.033296703296703,2.0846153846153843,5,55.53659340659341,1.5107692307692309,27.933516483516485,28.53934065934066,27.56186813186813,27.287032967032967,0.1746153846153846,0.7307692307692308,0.0346153846153846,8.051538461538462,55.77681318681319,48.70758241758242,58.1156043956044,54.67945054945055,37.22538461538461,36.98384615384615,36.790000000000006,36.80692307692307,16.05538461538461,18.033296703296703,1,0,1,1.0332967032967062,0,0,0.9350162426854148,-0.3546048870425354,0.0,0.0,0.0,0.0,0.0,0.0
2016,17,Morazan,0.0,,0,34.52461538461539,21.53,26.539670329670333,42.16153846153846,7,72.06296703296702,1.702197802197802,28.033296703296703,27.933516483516485,28.53934065934066,27.56186813186813,2.0846153846153843,0.1746153846153846,0.7307692307692308,0.0346153846153846,55.53659340659341,55.77681318681319,48.70758241758242,58.1156043956044,37.56307692307692,37.22538461538461,36.98384615384615,36.790000000000006,12.99461538461539,16.539670329670333,1,0,0,0.4603296703296671,1,0,0.8854560256532099,-0.4647231720437685,0.0,0.0,0.0,0.0,0.0,0.0
2016,18,Morazan,0.0,,0,34.00769230769231,20.68307692307692,26.01164835164835,32.83615384615385,7,75.01571428571428,1.5161538461538462,26.539670329670333,28.033296703296703,27.933516483516485,28.53934065934066,42.16153846153846,2.0846153846153843,0.1746153846153846,0.7307692307692308,72.06296703296702,55.53659340659341,55.77681318681319,48.70758241758242,34.52461538461539,37.56307692307692,37.22538461538461,36.98384615384615,13.324615384615388,16.01164835164835,1,0,0,0.9883516483516496,1,1,0.8229838658936565,-0.5680647467311557,0.0,0.0,0.0,0.0,0.0,0.0
2016,19,Morazan,0.0,,0,35.566923076923075,20.791538461538455,27.45296703296703,7.055384615384615,6,61.78505494505495,1.410879120879121,26.01164835164835,26.539670329670333,28.033296703296703,27.933516483516485,32.83615384615385,42.16153846153846,2.0846153846153843,0.1746153846153846,75.01571428571428,72.06296703296702,55.53659340659341,55.77681318681319,34.00769230769231,34.52461538461539,37.56307692307692,37.22538461538461,14.775384615384615,17.45296703296703,1,0,1,0.452967032967031,0,1,0.7485107481711013,-0.663122658240795,0.0,0.0,0.0,0.0,0.0,0.0
2016,20,Morazan,0.0,,0,36.56692307692308,22.50923076923077,27.546263736263736,15.17153846153846,6,67.0854945054945,1.5557142857142858,27.45296703296703,26.01164835164835,26.539670329670333,28.033296703296703,7.055384615384615,32.83615384615385,42.16153846153846,2.0846153846153843,61.78505494505495,75.01571428571428,72.06296703296702,55.53659340659341,35.566923076923075,34.00769230769231,34.52461538461539,37.56307692307692,14.057692307692308,17.546263736263736,1,0,1,0.5462637362637359,1,1,0.6631226582407952,-0.7485107481711012,0.0,0.0,0.0,0.0,0.0,0.0
2016,21,Morazan,0.0,,0,37.098461538461535,22.679230769230774,27.5967032967033,41.8976923076923,4,68.01406593406594,1.48,27.546263736263736,27.45296703296703,26.01164835164835,26.539670329670333,15.17153846153846,7.055384615384615,32.83615384615385,42.16153846153846,67.0854945054945,61.78505494505495,75.01571428571428,72.06296703296702,36.56692307692308,35.566923076923075,34.00769230769231,34.52461538461539,14.419230769230762,17.5967032967033,1,0,1,0.5967032967032999,1,1,0.5680647467311558,-0.8229838658936564,0.0,0.0,0.0,0.0,0.0,0.0
